0, 0
20, 20
40, 45
60, 70
80, 95
100, 120
120, 145
140, 170
160, 195
180, 220
200, 245
220, 270
240, 295
260, 320
280, 345
300, 370
320, 395
340, 420
360, 445
380, 470
400, 495
420, 520
440, 545
460, 570
480, 595
500, 620
520, 645
540, 670
560, 695
580, 720
600, 745
620, 770
640, 795
660, 820
680, 845
700, 870
720, 895
740, 920
760, 945
780, 970
800, 995
820, 1020
840, 1045
860, 1070
880, 1095
900, 1120
920, 1145
940, 1170
960, 1195
980, 1220
1000, 1245
1020, 1270
1040, 1295
1060, 1320
1080, 1345
1100, 1370
1120, 1395
1140, 1420
1160, 1445
1180, 1470
1200, 1495
1220, 1520
1240, 1545
1260, 1570
1280, 1595
1300, 1620
1320, 1645
1340, 1670
1360, 1695
1380, 1720
1400, 1745
1420, 1770
1440, 1795
1460, 1820
1480, 1845
1500, 1870
1520, 1895
1540, 1920
1560, 1945
1580, 1970
1600, 1995
1620, 2020
1640, 2045
1660, 2070
1680, 2095
1700, 2120
1720, 2145
1740, 2170
1760, 2195
1780, 2220
1800, 2245
1820, 2270
1840, 2295
1860, 2320
1880, 2345
1900, 2370
1920, 2395
1940, 2420
1960, 2445
1980, 2470
2000, 2495
2020, 2520
